Re,Experiment,,Calculated Martin,,Percent Error
853.5818227,12.05080304,,18.7792,,0.558339173
879.4529057,18.49568497,,19.1010,,0.032727848
879.8454548,15.9629888,,19.1059,,0.196885891
1200.657641,20.04267229,,22.9525,,0.145180827
1247.252619,26.72766053,,23.4921,,0.121058109
1297.365278,23.06772344,,24.0676,,0.043344932
1540.338547,20.86403144,,26.7928,,0.284161246
1790.640183,32.23738163,,29.4973,,0.084996571
1798.101702,29.5506783,,29.5765,,0.000872238
2324.420892,32.67186768,,34.9619,,0.070091317
2340.93443,41.29737799,,35.1249,,0.149463129
2569.773518,44.15638219,,37.3504,,0.154133176
2650.508354,47.53041312,,38.1208,,0.1979696
3321.765263,49.81054488,,44.2546,,0.111540838
3398.990762,56.56609543,,44.9315,,0.205682312
4827.052807,52.20005925,,56.5575,,0.083476672
5094.03806,65.54090179,,58.5698,,0.106362228
5508.472862,58.88420348,,61.6092,,0.046276564
5810.671883,85.09211764,,63.7656,,0.250628152
5910.887215,51.50587802,,64.4703,,0.251708296
6434.054792,68.68503377,,68.0705,,0.00894644
6897.50735,82.29128223,,71.1582,,0.135289058
7391.643622,111.2175571,,74.3558,,0.331438456
7627.425315,102.6332651,,75.8500,,0.260961046
8319.886735,68.68503377,,80.1311,,0.166646225
9054.619643,97.28174265,,84.5165,,0.131219105
9061.050284,76.96314822,,84.5542,,0.098632931
9190.812933,120.5198431,,85.3133,,0.292122441
9257.234433,146.3404788,,85.7001,,0.414378371
10742.54019,111.9645276,,94.0811,,0.159724299
11621.4686,87.4012681,,98.8260,,0.130715389
11621.4686,87.4012681,,98.8260,,0.130715389
11992.90477,79.05170229,,100.7893,,0.274979179
12258.0366,129.7288783,,102.1765,,0.212384435
12474.00182,69.61075066,,103.2980,,0.483937656
13382.28757,65.54090179,,107.9365,,0.646857799
15021.64465,99.92168376,,116.0201,,0.161110455
16487.4165,112.716515,,122.9742,,0.091003934
17015.06452,100.5927878,,125.4212,,0.246820508
17808.90106,146.3404788,,129.0508,,0.118147068
18670.42496,123.790398,,132.9235,,0.073778494
20964.81761,168.4277248,,142.9314,,0.151378273
21313.41921,124.6218115,,144.4162,,0.158835589
23775.35219,114.2356753,,154.6613,,0.3538795
